se4_lag,se1_frc,se1_wattemp,se1_cond,se4_frc
5.683333333,0.13,27.3,,0.04
7.016666667,0.64,27.6,315,0.53
7.4,0.37,28.8,301,0.11
7.05,1.23,27.7,314,0.86
6.3,0.41,20.1,,0.1
6.333333333,0.58,28.4,293,0.02
7.633333333,0.67,27,312,0.46
6.316666667,0.44,27.9,,0.06
6.333333333,0.59,27.8,290,0.03
6.25,0.86,27.9,314,0.43
6.516666667,0.23,27.9,,0.03
6.233333333,0.42,28.6,291,0.14
5.983333333,0.85,27.6,312,0.63
5.966666667,0.59,28.5,,0.07
6.416666667,0.54,29.1,292,0.2
6.633333333,0.73,28,316,0.34
6.083333333,0.6,28.4,,0.08
6.6,0.71,28.1,311,0.61
5.8,0.48,27.5,,0.19
6.766666667,0.96,27.2,332,0.65
6.716666667,0.95,27,326,0.58
6.716666667,0.42,28.2,312,0.11
5.783333333,0.49,27.7,,0.2
6.85,1.09,27.2,327,0.37
5.783333333,0.4,28,,0.17
6.25,1.14,29.4,311,0.57
6.75,0.92,27.2,326,0.2
5.75,0.44,28,,0.31
6.8,0.82,27.2,325,0.07
5.75,0.46,28.2,,0.32
16.3,1.03,28.5,472,0.02
16.9,0.75,28.4,365,0.43
16.66666667,1.08,28.2,469,0.05
16.81666667,0.72,28.7,355,0.28
16.71666667,0.59,28.1,289,0.53
16.66666667,0.73,28.5,351,0.37
5.9,0.69,27.9,,0.4
16.75,0.69,27.9,290,0.5
16.73333333,0.53,27.8,340,0.15
5.883333333,0.66,28.1,,0.56
15.78333333,0.7,28,292,0.5
16.65,0.73,27.9,346,0.38
15.08333333,0.69,27.8,291,0.26
16.28333333,0.78,29.4,368,0.51
15.68333333,0.67,27.8,295,0.58
15.96666667,0.75,28.2,291,0.09
15.9,0.33,27.6,387,0.08
15.61666667,0.69,28.1,293,0.45
15.1,0.68,28.2,292,0.3
6.366666667,0.07,28.2,,0.04
16.05,0.86,28.6,294,0.48
6.2,0.19,27.7,,0.11
5.983333333,0.33,28.1,,0.19
5.733333333,0.73,27.8,,0.42
5.233333333,0.71,28.6,474,0.28
6.033333333,0.8,28,,0.43
6.516666667,0.99,28.7,306,0.98
6.15,0.83,28,,0.55
6.416666667,0.61,28.8,308,0.28
6.083333333,0.82,27.8,,0.51
6.45,0.86,27.5,,0.49
5.066666667,0.58,29.6,475,0.6
5.116666667,0.65,29.1,476,0.59
6.283333333,0.47,27.3,300,0.4
6.416666667,0.42,27.6,295,0.09
15.71666667,0.22,27.5,,0.06
6.4,0.76,27.2,,0.47
6.3,0.81,27.3,,0.43
6.2,0.27,27.9,290,0.1
6.383333333,0.72,27.4,,0.54
15.71666667,0.2,27.5,,0.04
6.333333333,0.73,,,0.43
6.216666667,0.51,28.2,292,0.06
6.916666667,1.45,,,0.75
15.88333333,0.21,27.6,,0.07
7.85,0.87,28.8,477,0.34
6.983333333,1.48,,,0.81
15.91666667,0.22,27.8,,0.08
